BIRTHDAY ,CARD ,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,,
April 20,A ♦,4/20,6/11,8/2,9/23,11/14,1/6,2/27,,
April 21,K ♣,4/21,6/12,8/3,9/24,11/15,1/7,2/28,,
April 22,Q ♣,4/22,6/13,8/4,9/25,11/16,1/8,3/1,,
April 23,J ♣,4/23,6/14,8/5,9/26,11/17,1/9,3/2,,
April 24,10 ♣,4/24,6/15,8/6,9/27,11/18,1/10,3/3,,
April 25,9 ♣,4/25,6/16,8/7,9/28,11/19,1/11,3/4,,
April 26,8 ♣,4/26,6/17,8/8,9/29,11/20,1/12,3/5,,
April 27,7 ♣,4/27,6/18,8/9,9/30,11/21,1/13,3/6,,
April 28,6 ♣,4/28,6/19,8/10,10/1,11/22,1/14,3/7,,
April 29,5 ♣,4/29,6/20,8/11,10/2,11/23,1/15,3/8,,
April 30,4 ♣,4/30,6/21,8/12,10/3,11/24,1/16,3/9,,
May 1,5 ♠,5/1,6/22,8/13,10/4,11/25,1/17,3/10,,
May 2,4 ♠,5/2,6/23,8/14,10/5,11/26,1/18,3/11,,
May 3,3 ♠,5/3,6/24,8/15,10/6,11/27,1/19,3/12,,
May 4,2 ♠,5/4,6/25,8/16,10/7,11/28,1/20,3/13,,
May 5,A ♠,5/5,6/26,8/17,10/8,11/29,1/21,3/14,,
May 6,K ♦,5/6,6/27,8/18,10/9,11/30,1/22,3/15,,
May 7,Q ♦,5/7,6/28,8/19,10/10,12/1,1/23,3/16,,
May 8,J ♦,5/8,6/29,8/20,10/11,12/2,1/24,3/17,,
May 9,10 ♦,5/9,6/30,8/21,10/12,12/3,1/25,3/18,,
May 10,9 ♦,5/10,7/1,8/22,10/13,12/4,1/26,3/19,,
May 11,8 ♦,5/11,7/2,8/23,10/14,12/5,1/27,3/20,,
May 12,7 ♦,5/12,7/3,8/24,10/15,12/6,1/28,3/21,,
May 13,6 ♦,5/13,7/4,8/25,10/16,12/7,1/29,3/22,,
May 14,5 ♦,5/14,7/5,8/26,10/17,12/8,1/30,3/23,,
May 15,4 ♦,5/15,7/6,8/27,10/18,12/9,1/31,3/24,,
May 16,3 ♦,5/16,7/7,8/28,10/19,12/10,2/1,3/25,,
May 17,2 ♦,5/17,7/8,8/29,10/20,12/11,2/2,3/26,,
May 18,A ♦,5/18,7/9,8/30,10/21,12/12,2/3,3/27,,
May 19,K ♣,5/19,7/10,8/31,10/22,12/13,2/4,3/28,,
May 20,Q ♣,5/20,7/11,9/1,10/23,12/14,2/5,3/29,,
May 21,J ♣,5/21,7/12,9/2,10/24,12/15,2/6,3/30,,
May 22,10 ♣,5/22,7/13,9/3,10/25,12/16,2/7,3/31,,
May 23,9 ♣,5/23,7/14,9/4,10/26,12/17,2/8,4/1,,
May 24,8 ♣,5/24,7/15,9/5,10/27,12/18,2/9,4/2,,
May 25,7 ♣,5/25,7/16,9/6,10/28,12/19,2/10,4/3,,
May 26,6 ♣,5/26,7/17,9/7,10/29,12/20,2/11,4/4,,
May 27,5 ♣,5/27,7/18,9/8,10/30,12/21,2/12,4/5,,
May 28,4 ♣,5/28,7/19,9/9,10/31,12/22,2/13,4/6,,
May 29,3 ♣,5/29,7/20,9/10,11/1,12/23,2/14,4/7,,
May 30,2 ♣,5/30,7/21,9/11,11/2,12/24,2/15,4/8,,
May 31,A ♣,5/31,7/22,9/12,11/3,12/25,2/16,4/9,,
June 1,3 ♠,6/1,7/23,9/13,11/4,12/26,2/17,4/10,,
June 2,2 ♠,6/2,7/24,9/14,11/5,12/27,2/18,4/11,,
June 3,A ♠,6/3,7/25,9/15,11/6,12/28,2/19,4/12,,
June 4,K ♦,6/4,7/26,9/16,11/7,12/29,2/20,4/13,,
June 5,Q ♦,6/5,7/27,9/17,11/8,12/30,2/21,4/14,,
June 6,J ♦,6/6,7/28,9/18,11/9,1/1,2/22,4/15,,
June 7,10 ♦,6/7,7/29,9/19,11/10,1/2,2/23,4/16,,
June 8,9 ♦,6/8,7/30,9/20,11/11,1/3,2/24,4/17,,
June 9,8 ♦,6/9,7/31,9/21,11/12,1/4,2/25,4/18,,
June 10,7 ♦,6/10,8/1,9/22,11/13,1/5,2/26,4/19,,
June 11,6 ♦,6/11,8/2,9/23,11/14,1/6,2/27,4/20,,
June 12,5 ♦,6/12,8/3,9/24,11/15,1/7,2/28,4/21,,
June 13,4 ♦,6/13,8/4,9/25,11/16,1/8,3/1,4/22,,
June 14,3 ♦,6/14,8/5,9/26,11/17,1/9,3/2,4/23,,
June 15,2 ♦,6/15,8/6,9/27,11/18,1/10,3/3,4/24,,
June 16,A ♦,6/16,8/7,9/28,11/19,1/11,3/4,4/25,,
June 17,K ♣,6/17,8/8,9/29,11/20,1/12,3/5,4/26,,
June 18,Q ♣,6/18,8/9,9/30,11/21,1/13,3/6,4/27,,
June 19,J ♣,6/19,8/10,10/1,11/22,1/14,3/7,4/28,,
June 20,10 ♣,6/20,8/11,10/2,11/23,1/15,3/8,4/29,,
